name,numel,max_abs,min_abs_nonzero,dynamic_range,frac_bits,q_format,step,rel_err_max,rel_err_mean,group,dataset
backbone.proc_memory_blocks.0.latent_attentions.1.gelu2.out,0,5.231863498687744,3.7394700050354004,1.3990922488060487,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_1.centered,0,18.045671463012695,13.869400024414062,1.3011140663076424,10.0,Q5.10,0.0009765625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_1.hat,0,5.349145412445068,4.364298343658447,1.225659886478122,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_1.in,0,17.980308532714844,13.777857780456543,1.3050148157443855,10.0,Q5.10,0.0009765625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_1.out,0,3.6153717041015625,2.8712244033813477,1.2591742045114471,13.0,Q2.13,0.0001220703125,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_2.centered,0,3.905208110809326,2.9390523433685303,1.3287303710737788,13.0,Q2.13,0.0001220703125,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_2.hat,0,10.69973087310791,9.627096176147461,1.1114183007351748,11.0,Q4.11,0.00048828125,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_2.in,0,3.9547677040100098,2.9746315479278564,1.3294983396397182,13.0,Q2.13,0.0001220703125,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_2.out,0,6.388630390167236,4.463348388671875,1.4313537357697173,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_att.centered,0,18.989940643310547,14.492491722106934,1.3103295835831446,10.0,Q5.10,0.0009765625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_att.hat,0,5.342267990112305,4.31949520111084,1.236780628611056,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_att.in,0,19.026443481445312,14.495135307312012,1.3126088910565397,10.0,Q5.10,0.0009765625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_att.out,0,2.1269149780273438,1.5301234722137451,1.3900283321254954,13.0,Q2.13,0.0001220703125,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_x.centered,0,18.045671463012695,13.869400024414062,1.3011140663076424,10.0,Q5.10,0.0009765625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_x.hat,0,5.349145412445068,4.364298343658447,1.225659886478122,12.0,Q3.12,0.000244140625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_x.in,0,17.980308532714844,13.777857780456543,1.3050148157443855,10.0,Q5.10,0.0009765625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.1.layer_norm_x.out,0,1.795204758644104,1.2989689111709595,1.3820228823073304,14.0,Q1.14,6.103515625e-05,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.1.softmax.in,0,20.056533813476562,15.770862579345703,1.2717461529176968,10.0,Q5.10,0.0009765625,,,fx16 requant (non-linear I/O),ASL_DVS
backbone.proc_memory_blocks.0.latent_attentions.1.softmax.out,0,0.9999792575836182,0.9988422989845276,1.001138276382815,14.0,Q1.14,6.103515625e-05,,,fx16 requant (non-linear I/O),ASL_DVS
models_clf.0.log_softmax.in,0,65.23421478271484,54.87578582763672,1.1887613780623325,8.0,Q7.8,0.00390625,,,fx16 requant (non-linear I/O),ASL_DVS
models_clf.0.relu.in,0,8.61520767211914,6.273196697235107,1.3733361295551705,,INT8,0.06783628088282788,,,int8 requant (ReLU input),ASL_DVS
every scale in the model,3485,0.1384543627500534,0.0003725549322552979,371.6347597706097,17.0,Q-2.17,7.62939453125e-06,0.00912763923406601,0.0005323747755028307,ALL scales under ONE global Q format,ASL_DVS
